r:1261.0 n:1387
--a:1 r:354.0 n:416
----a:1 r:101.0 n:131
------a:-1 r:69.0 n:85
--------a:1 r:65.0 n:73
----------a:-1 r:60.0 n:64
------------a:-1 r:58.0 n:60
--------------a:1 r:57.0 n:59
------------a:1 r:-1.0 n:1
----------a:1 r:6.0 n:8
------------a:-1 r:1.0 n:1
------------a:1 r:0.0 n:2
--------------a:-1 r:-1.0 n:1
--------a:-1 r:3.0 n:11
----------a:1 r:3.0 n:7
------------a:-1 r:-1.0 n:1
------------a:1 r:3.0 n:5
--------------a:-1 r:0.0 n:2
----------------a:1 r:-1.0 n:1
--------------a:1 r:2.0 n:2
----------------a:1 r:1.0 n:1
----------a:-1 r:-1.0 n:3
------------a:1 r:-1.0 n:1
------------a:-1 r:-1.0 n:1
------a:1 r:33.0 n:45
--------a:-1 r:23.0 n:29
----------a:-1 r:9.0 n:11
------------a:-1 r:1.0 n:3
--------------a:1 r:-1.0 n:1
------------a:1 r:7.0 n:7
--------------a:1 r:2.0 n:2
----------a:1 r:13.0 n:17
------------a:1 r:-1.0 n:1
------------a:-1 r:15.0 n:15
--------a:1 r:9.0 n:15
----------a:1 r:6.0 n:8
------------a:1 r:4.0 n:4
--------------a:1 r:1.0 n:1
--------------a:-1 r:2.0 n:2
----------------a:-1 r:1.0 n:1
------------a:-1 r:1.0 n:3
--------------a:1 r:-1.0 n:1
----------a:-1 r:2.0 n:6
------------a:-1 r:0.0 n:2
--------------a:1 r:-1.0 n:1
------------a:1 r:3.0 n:3
--------------a:-1 r:2.0 n:2
----a:-1 r:252.0 n:284
------a:-1 r:227.0 n:243
--------a:-1 r:0.0 n:8
----------a:-1 r:-2.0 n:2
------------a:-1 r:-1.0 n:1
----------a:1 r:3.0 n:5
------------a:1 r:0.0 n:2
--------------a:1 r:-1.0 n:1
------------a:-1 r:2.0 n:2
--------------a:1 r:1.0 n:1
--------a:1 r:226.0 n:234
----------a:1 r:1.0 n:5
------------a:1 r:1.0 n:3
--------------a:1 r:1.0 n:1
--------------a:-1 r:-1.0 n:1
------------a:-1 r:-1.0 n:1
----------a:-1 r:224.0 n:228
------------a:1 r:223.0 n:225
--------------a:-1 r:1.0 n:1
--------------a:1 r:221.0 n:223
------------a:-1 r:0.0 n:2
--------------a:1 r:-1.0 n:1
------a:1 r:26.0 n:40
--------a:-1 r:-3.0 n:5
----------a:-1 r:-2.0 n:2
------------a:1 r:-1.0 n:1
----------a:1 r:-2.0 n:2
------------a:1 r:-1.0 n:1
--------a:1 r:28.0 n:34
----------a:1 r:6.0 n:8
------------a:1 r:3.0 n:3
--------------a:-1 r:1.0 n:1
--------------a:1 r:1.0 n:1
------------a:-1 r:2.0 n:4
--------------a:1 r:1.0 n:1
--------------a:-1 r:0.0 n:2
----------------a:1 r:-1.0 n:1
----------a:-1 r:23.0 n:25
------------a:-1 r:18.0 n:20
--------------a:1 r:1.0 n:1
--------------a:-1 r:16.0 n:18
----------------a:-1 r:15.0 n:17
------------a:1 r:4.0 n:4
--------------a:-1 r:1.0 n:1
--------------a:1 r:2.0 n:2
----------------a:-1 r:1.0 n:1
--a:-1 r:907.0 n:971
----a:1 r:814.0 n:846
------a:-1 r:766.0 n:782
--------a:-1 r:15.0 n:23
----------a:1 r:12.0 n:16
------------a:-1 r:13.0 n:15
----------a:-1 r:4.0 n:6
--------a:1 r:750.0 n:758
----------a:-1 r:5.0 n:7
------------a:-1 r:4.0 n:6
----------a:1 r:746.0 n:750
------------a:-1 r:1.0 n:1
------------a:1 r:744.0 n:746
------a:1 r:47.0 n:63
--------a:-1 r:9.0 n:15
----------a:1 r:7.0 n:11
------------a:-1 r:8.0 n:10
----------a:-1 r:1.0 n:3
------------a:-1 r:1.0 n:1
------------a:1 r:1.0 n:1
--------a:1 r:39.0 n:47
----------a:-1 r:32.0 n:38
------------a:-1 r:1.0 n:1
------------a:1 r:32.0 n:36
--------------a:1 r:31.0 n:35
----------a:1 r:6.0 n:8
------------a:1 r:5.0 n:7
----a:-1 r:94.0 n:124
------a:-1 r:36.0 n:50
--------a:-1 r:32.0 n:38
----------a:-1 r:7.0 n:9
------------a:-1 r:6.0 n:8
----------a:1 r:24.0 n:28
------------a:-1 r:25.0 n:27
--------a:1 r:5.0 n:11
----------a:-1 r:6.0 n:10
------a:1 r:57.0 n:73
--------a:-1 r:43.0 n:51
----------a:-1 r:35.0 n:39
------------a:-1 r:1.0 n:1
------------a:1 r:35.0 n:37
----------a:1 r:9.0 n:11
--------a:1 r:13.0 n:21
----------a:-1 r:9.0 n:13
------------a:1 r:10.0 n:12
----------a:1 r:3.0 n:7
------------a:1 r:1.0 n:1
------------a:-1 r:3.0 n:5
