r:749.0 n:987
--a:1 r:766.0 n:928
----a:1 r:765.0 n:853
------a:-1 r:0.0 n:38
--------a:1 r:3.0 n:21
----------a:-1 r:-2.0 n:12
------------a:-1 r:1.0 n:3
--------------a:-1 r:1.0 n:1
--------------a:1 r:1.0 n:1
------------a:1 r:-4.0 n:8
--------------a:-1 r:1.0 n:1
--------------a:1 r:-4.0 n:6
----------------a:-1 r:-5.0 n:5
----------a:1 r:4.0 n:8
------------a:1 r:1.0 n:3
--------------a:1 r:1.0 n:1
--------------a:-1 r:1.0 n:1
------------a:-1 r:2.0 n:4
--------------a:1 r:1.0 n:1
--------------a:-1 r:0.0 n:2
----------------a:-1 r:-1.0 n:1
--------a:-1 r:-4.0 n:16
----------a:1 r:0.0 n:8
------------a:1 r:1.0 n:3
--------------a:-1 r:-1.0 n:1
--------------a:1 r:1.0 n:1
------------a:-1 r:0.0 n:4
--------------a:1 r:-1.0 n:1
--------------a:-1 r:0.0 n:2
----------------a:-1 r:-1.0 n:1
----------a:-1 r:-5.0 n:7
------------a:-1 r:-4.0 n:4
--------------a:1 r:-3.0 n:3
------------a:1 r:-2.0 n:2
--------------a:-1 r:-1.0 n:1
------a:1 r:764.0 n:814
--------a:1 r:112.0 n:134
----------a:-1 r:102.0 n:114
------------a:-1 r:104.0 n:108
--------------a:1 r:102.0 n:104
----------------a:-1 r:1.0 n:1
----------------a:1 r:100.0 n:102
--------------a:-1 r:1.0 n:3
----------------a:1 r:-1.0 n:1
------------a:1 r:-3.0 n:5
--------------a:1 r:1.0 n:1
--------------a:-1 r:-3.0 n:3
----------a:1 r:9.0 n:19
------------a:1 r:10.0 n:14
--------------a:-1 r:0.0 n:4
----------------a:1 r:-1.0 n:1
----------------a:-1 r:0.0 n:2
------------------a:-1 r:-1.0 n:1
--------------a:1 r:9.0 n:9
----------------a:-1 r:4.0 n:4
----------------a:1 r:3.0 n:3
------------a:-1 r:-2.0 n:4
--------------a:1 r:-1.0 n:1
--------------a:-1 r:-2.0 n:2
----------------a:1 r:-1.0 n:1
--------a:-1 r:651.0 n:679
----------a:1 r:24.0 n:38
------------a:-1 r:6.0 n:12
--------------a:1 r:-1.0 n:1
--------------a:-1 r:6.0 n:10
----------------a:-1 r:1.0 n:1
----------------a:1 r:6.0 n:8
------------a:1 r:19.0 n:25
--------------a:-1 r:16.0 n:18
----------------a:-1 r:15.0 n:17
--------------a:1 r:4.0 n:6
----------a:-1 r:626.0 n:640
------------a:1 r:624.0 n:630
--------------a:-1 r:-1.0 n:1
--------------a:1 r:626.0 n:628
------------a:-1 r:1.0 n:9
--------------a:1 r:2.0 n:4
--------------a:-1 r:-2.0 n:4
----------------a:-1 r:-1.0 n:1
----------------a:1 r:-2.0 n:2
----a:-1 r:2.0 n:74
------a:1 r:8.0 n:48
--------a:-1 r:0.0 n:18
----------a:1 r:1.0 n:11
------------a:-1 r:0.0 n:4
--------------a:1 r:0.0 n:2
----------------a:-1 r:-1.0 n:1
--------------a:-1 r:-1.0 n:1
------------a:1 r:2.0 n:6
--------------a:-1 r:0.0 n:2
----------------a:-1 r:-1.0 n:1
--------------a:1 r:1.0 n:3
----------------a:-1 r:1.0 n:1
----------------a:1 r:-1.0 n:1
----------a:-1 r:-2.0 n:6
------------a:1 r:0.0 n:4
--------------a:-1 r:1.0 n:1
--------------a:1 r:-2.0 n:2
------------a:-1 r:-1.0 n:1
--------a:1 r:9.0 n:29
----------a:1 r:6.0 n:16
------------a:1 r:5.0 n:9
--------------a:1 r:2.0 n:4
----------------a:-1 r:1.0 n:1
----------------a:1 r:0.0 n:2
------------------a:1 r:-1.0 n:1
--------------a:-1 r:4.0 n:4
----------------a:1 r:1.0 n:1
----------------a:-1 r:2.0 n:2
------------------a:-1 r:1.0 n:1
------------a:-1 r:0.0 n:6
--------------a:-1 r:2.0 n:4
----------------a:-1 r:1.0 n:1
----------------a:1 r:0.0 n:2
------------------a:1 r:-1.0 n:1
--------------a:1 r:-1.0 n:1
----------a:-1 r:2.0 n:12
------------a:-1 r:-2.0 n:4
--------------a:-1 r:-1.0 n:1
--------------a:1 r:-2.0 n:2
----------------a:1 r:-1.0 n:1
------------a:1 r:3.0 n:7
--------------a:-1 r:0.0 n:2
----------------a:1 r:-1.0 n:1
--------------a:1 r:2.0 n:4
----------------a:1 r:1.0 n:1
----------------a:-1 r:0.0 n:2
------------------a:1 r:-1.0 n:1
------a:-1 r:-5.0 n:25
--------a:1 r:-3.0 n:13
----------a:-1 r:-3.0 n:5
------------a:-1 r:-1.0 n:3
--------------a:1 r:-1.0 n:1
--------------a:-1 r:-1.0 n:1
------------a:1 r:-1.0 n:1
----------a:1 r:-1.0 n:7
------------a:-1 r:-1.0 n:3
--------------a:-1 r:1.0 n:1
--------------a:1 r:-1.0 n:1
------------a:1 r:1.0 n:3
--------------a:-1 r:1.0 n:1
--------------a:1 r:-1.0 n:1
--------a:-1 r:-3.0 n:11
----------a:1 r:-2.0 n:4
------------a:-1 r:-1.0 n:1
------------a:1 r:0.0 n:2
----------a:-1 r:-2.0 n:6
------------a:1 r:-1.0 n:3
--------------a:1 r:-1.0 n:1
--------------a:-1 r:-1.0 n:1
------------a:-1 r:-2.0 n:2
--------------a:1 r:-1.0 n:1
--a:-1 r:-17.0 n:59
----a:1 r:-7.0 n:41
------a:-1 r:-5.0 n:19
--------a:1 r:-4.0 n:4
----------a:-1 r:-1.0 n:1
----------a:1 r:-2.0 n:2
------------a:-1 r:-1.0 n:1
--------a:-1 r:0.0 n:14
----------a:-1 r:-2.0 n:4
------------a:1 r:-1.0 n:1
------------a:-1 r:-2.0 n:2
--------------a:1 r:-1.0 n:1
----------a:1 r:1.0 n:9
------------a:1 r:-2.0 n:2
--------------a:-1 r:-1.0 n:1
------------a:-1 r:2.0 n:6
--------------a:-1 r:1.0 n:5
------a:1 r:-3.0 n:21
--------a:1 r:-1.0 n:9
----------a:-1 r:1.0 n:5
------------a:1 r:1.0 n:1
------------a:-1 r:0.0 n:2
----------a:1 r:-1.0 n:3
------------a:1 r:-2.0 n:2
--------a:-1 r:-1.0 n:11
----------a:1 r:-1.0 n:5
------------a:1 r:-1.0 n:1
------------a:-1 r:-1.0 n:3
--------------a:1 r:-1.0 n:1
--------------a:-1 r:-1.0 n:1
----------a:-1 r:-1.0 n:5
------------a:-1 r:-1.0 n:1
------------a:1 r:-1.0 n:3
--------------a:-1 r:1.0 n:1
--------------a:1 r:-1.0 n:1
----a:-1 r:-11.0 n:17
------a:1 r:-4.0 n:10
--------a:-1 r:-2.0 n:4
----------a:1 r:-2.0 n:2
----------a:-1 r:-1.0 n:1
--------a:1 r:-1.0 n:5
----------a:-1 r:0.0 n:2
----------a:1 r:0.0 n:2
------------a:-1 r:-1.0 n:1
